"SITE","PLOT","TREATMENT","CARCASS.INTERACTIONS","NO.INTERACTIONS","CARCASS.PICTURES","PROPORTION","NOTES"
4,1,"Exclusion",0,313,313,0,"Vulture kept trying to grab through hole in the cage but was unsuccessful"
4,2,"Open",NA,NA,NA,NA,"No detections, camera malfunction"
5,2,"Open",2067,13,2080,0.99375,"Cool pictures"
5,5,"Exclusion",0,175,175,0,""
11,5,"Open",1024,43,1067,0.9597000937,"They were still interacting once the carrion was dry"
11,6,"Exclusion",0,57,57,0,""
18,1,"Open",6,90,96,0.0625,"Mostly Coyotes in this set, Vultures came once the carrion was dry, missed vulture"
18,3,"Exclusion",0,21,21,0,""
19,4,"Exclusion",0,3,3,0,"No detections, camera malfunction"
19,5,"Open",NA,NA,NA,NA,"Camer Malfunction, cannot see carrion"
20,2,"Exclusion",NA,NA,NA,NA,"Camer Malfunction"
20,5,"Open",313,10,323,0.9690402477,""
37,1,"Exclusion",0,18,18,0,""
37,4,"Open",1141,1,1142,0.9991243433,""
38,2,"Exclusion",0,137,137,0,""
38,3,"Open",343,0,343,1,"Loose sight of carrion, vultures still actively eating "
