"DATE","BLOCK","PLOT","TREATMENT","EXCLUSION","TRANSECT","METER","RICHNESS"
2021-04-18,37,"1","CC","CAGED","CENTER",0,1
2021-04-18,37,"1","CC","CAGED","NORTH",1,2
2021-04-18,37,"1","CC","CAGED","NORTH",2,3
2021-04-18,37,"1","CC","CAGED","NORTH",3,7
2021-04-18,37,"1","CC","CAGED","EAST",1,4
2021-04-18,37,"1","CC","CAGED","EAST",2,4
2021-04-18,37,"1","CC","CAGED","EAST",3,3
2021-04-18,37,"1","CC","CAGED","SOUTH",1,3
2021-04-18,37,"1","CC","CAGED","SOUTH",2,1
2021-04-18,37,"1","CC","CAGED","SOUTH",3,5
2021-04-18,37,"1","CC","CAGED","WEST",1,3
2021-04-18,37,"1","CC","CAGED","WEST",2,3
2021-04-18,37,"1","CC","CAGED","WEST",3,5
2021-04-18,37,"4","OC","OPEN","CENTER",0,4
2021-04-18,37,"4","OC","OPEN","NORTH",1,3
2021-04-18,37,"4","OC","OPEN","NORTH",2,3
2021-04-18,37,"4","OC","OPEN","NORTH",3,5
2021-04-18,37,"4","OC","OPEN","EAST",1,3
2021-04-18,37,"4","OC","OPEN","EAST",2,3
2021-04-18,37,"4","OC","OPEN","EAST",3,3
2021-04-18,37,"4","OC","OPEN","SOUTH",1,6
2021-04-18,37,"4","OC","OPEN","SOUTH",2,4
2021-04-18,37,"4","OC","OPEN","SOUTH",3,4
2021-04-18,37,"4","OC","OPEN","WEST",1,4
2021-04-18,37,"4","OC","OPEN","WEST",2,4
2021-04-18,37,"4","OC","OPEN","WEST",3,3
2021-04-18,37,"REF","REF","REF","CENTER",0,3
2021-04-18,37,"REF","REF","REF","NORTH",1,6
2021-04-18,37,"REF","REF","REF","NORTH",2,5
2021-04-18,37,"REF","REF","REF","NORTH",3,5
2021-04-18,37,"REF","REF","REF","EAST",1,4
2021-04-18,37,"REF","REF","REF","EAST",2,7
2021-04-18,37,"REF","REF","REF","EAST",3,0
2021-04-18,37,"REF","REF","REF","SOUTH",1,6
2021-04-18,37,"REF","REF","REF","SOUTH",2,4
2021-04-18,37,"REF","REF","REF","SOUTH",3,2
2021-04-18,37,"REF","REF","REF","WEST",1,2
2021-04-18,37,"REF","REF","REF","WEST",2,6
2021-04-18,37,"REF","REF","REF","WEST",3,2
2021-04-19,11,"5","OC","OPEN","CENTER",0,2
2021-04-19,11,"5","OC","OPEN","NORTH",1,4
2021-04-19,11,"5","OC","OPEN","NORTH",2,2
2021-04-19,11,"5","OC","OPEN","NORTH",3,6
2021-04-19,11,"5","OC","OPEN","EAST",1,1
2021-04-19,11,"5","OC","OPEN","EAST",2,3
2021-04-19,11,"5","OC","OPEN","EAST",3,2
2021-04-19,11,"5","OC","OPEN","SOUTH",1,2
2021-04-19,11,"5","OC","OPEN","SOUTH",2,4
2021-04-19,11,"5","OC","OPEN","SOUTH",3,3
2021-04-19,11,"5","OC","OPEN","WEST",1,5
2021-04-19,11,"5","OC","OPEN","WEST",2,5
2021-04-19,11,"5","OC","OPEN","WEST",3,2
2021-04-19,11,"6","CC","CAGED","CENTER",0,4
2021-04-19,11,"6","CC","CAGED","NORTH",1,5
2021-04-19,11,"6","CC","CAGED","NORTH",2,5
2021-04-19,11,"6","CC","CAGED","NORTH",3,1
2021-04-19,11,"6","CC","CAGED","EAST",1,5
2021-04-19,11,"6","CC","CAGED","EAST",2,3
2021-04-19,11,"6","CC","CAGED","EAST",3,4
2021-04-19,11,"6","CC","CAGED","SOUTH",1,3
2021-04-19,11,"6","CC","CAGED","SOUTH",2,5
2021-04-19,11,"6","CC","CAGED","SOUTH",3,4
2021-04-19,11,"6","CC","CAGED","WEST",1,2
2021-04-19,11,"6","CC","CAGED","WEST",2,3
2021-04-19,11,"6","CC","CAGED","WEST",3,4
2021-04-19,11,"REF","REF","REF","CENTER",0,4
2021-04-19,11,"REF","REF","REF","NORTH",1,5
2021-04-19,11,"REF","REF","REF","NORTH",2,4
2021-04-19,11,"REF","REF","REF","NORTH",3,4
2021-04-19,11,"REF","REF","REF","EAST",1,3
2021-04-19,11,"REF","REF","REF","EAST",2,4
2021-04-19,11,"REF","REF","REF","EAST",3,1
2021-04-19,11,"REF","REF","REF","SOUTH",1,3
2021-04-19,11,"REF","REF","REF","SOUTH",2,4
2021-04-19,11,"REF","REF","REF","SOUTH",3,5
2021-04-19,11,"REF","REF","REF","WEST",1,4
2021-04-19,11,"REF","REF","REF","WEST",2,5
2021-04-19,11,"REF","REF","REF","WEST",3,5
2022-04-20,38,"REF","REF","REF","CENTER",0,3
2022-04-20,38,"REF","REF","REF","SOUTH",1,2
2022-04-20,38,"REF","REF","REF","SOUTH",2,3
2022-04-20,38,"REF","REF","REF","SOUTH",3,3
2022-04-20,38,"REF","REF","REF","EAST",1,4
2022-04-20,38,"REF","REF","REF","EAST",2,2
2022-04-20,38,"REF","REF","REF","EAST",3,4
2022-04-20,38,"REF","REF","REF","NORTH",1,5
2022-04-20,38,"REF","REF","REF","NORTH",2,4
2022-04-20,38,"REF","REF","REF","NORTH",3,3
2022-04-20,38,"REF","REF","REF","WEST",1,5
2022-04-20,38,"REF","REF","REF","WEST",2,3
2022-04-20,38,"REF","REF","REF","WEST",3,4
2022-04-20,38,"3","OC","OPEN","CENTER",0,4
2022-04-20,38,"3","OC","OPEN","NORTH",1,3
2022-04-20,38,"3","OC","OPEN","NORTH",2,3
2022-04-20,38,"3","OC","OPEN","NORTH",3,2
2022-04-20,38,"3","OC","OPEN","EAST",1,3
2022-04-20,38,"3","OC","OPEN","EAST",2,6
2022-04-20,38,"3","OC","OPEN","EAST",3,4
2022-04-20,38,"3","OC","OPEN","SOUTH",1,4
2022-04-20,38,"3","OC","OPEN","SOUTH",2,4
2022-04-20,38,"3","OC","OPEN","SOUTH",3,2
2022-04-20,38,"3","OC","OPEN","WEST",1,5
2022-04-20,38,"3","OC","OPEN","WEST",2,3
2022-04-20,38,"3","OC","OPEN","WEST",3,4
2022-04-20,38,"2","CC","CAGED","CENTER",0,2
2022-04-20,38,"2","CC","CAGED","NORTH",1,2
2022-04-20,38,"2","CC","CAGED","NORTH",2,3
2022-04-20,38,"2","CC","CAGED","NORTH",3,3
2022-04-20,38,"2","CC","CAGED","EAST",1,3
2022-04-20,38,"2","CC","CAGED","EAST",2,3
2022-04-20,38,"2","CC","CAGED","EAST",3,3
2022-04-20,38,"2","CC","CAGED","SOUTH",1,2
2022-04-20,38,"2","CC","CAGED","SOUTH",2,4
2022-04-20,38,"2","CC","CAGED","SOUTH",3,4
2022-04-20,38,"2","CC","CAGED","WEST",1,2
2022-04-20,38,"2","CC","CAGED","WEST",2,3
2022-04-20,38,"2","CC","CAGED","WEST",3,4
2022-04-20,4,"1","CC","CAGED","CENTER",0,1
