"BLOCK","TRANSECT","METER","BC","x","y"
"11","EAST",1,0.2,1,0
"11","EAST",2,0.4,2,0
"11","EAST",3,0.833333333333333,3,0
"11","NORTH",1,0.666666666666667,0,1
"11","NORTH",2,0.714285714285714,0,2
"11","NORTH",3,0.8,0,3
"11","SOUTH",1,0.833333333333333,0,-1
"11","SOUTH",2,0.666666666666667,0,-2
"11","SOUTH",3,0.5,0,-3
"11","WEST",1,0.8,-1,0
"11","WEST",2,1,-2,0
"11","WEST",3,0.8,-3,0
"11","EAST",1,0.5,1,0
"11","EAST",2,1,2,0
"11","EAST",3,1,3,0
"11","NORTH",1,0.5,0,1
"11","NORTH",2,0.8,0,2
"11","NORTH",3,0.857142857142857,0,3
"11","SOUTH",1,0.666666666666667,0,-1
"11","SOUTH",2,0.5,0,-2
"11","SOUTH",3,0.6,0,-3
"11","WEST",1,0.833333333333333,-1,0
"11","WEST",2,0.75,-2,0
"11","WEST",3,0.833333333333333,-3,0
"18","EAST",1,0.8,1,0
"18","EAST",2,0.833333333333333,2,0
"18","EAST",3,0.6,3,0
"18","NORTH",1,0.857142857142857,0,1
"18","NORTH",2,0.375,0,2
"18","NORTH",3,0.625,0,3
"18","SOUTH",1,0.857142857142857,0,-1
"18","SOUTH",2,0.625,0,-2
"18","SOUTH",3,0.2,0,-3
"18","WEST",1,1,-1,0
"18","WEST",2,0.666666666666667,-2,0
"18","WEST",3,0.4,-3,0
"18","EAST",1,0.666666666666667,1,0
"18","EAST",2,0.5,2,0
"18","EAST",3,0.5,3,0
"18","NORTH",1,0.8,0,1
"18","NORTH",2,0.714285714285714,0,2
"18","NORTH",3,0.5,0,3
"18","SOUTH",1,0.818181818181818,0,-1
"18","SOUTH",2,0.625,0,-2
"18","SOUTH",3,0.625,0,-3
"18","WEST",1,0.625,-1,0
"18","WEST",2,0.571428571428571,-2,0
"18","WEST",3,0.777777777777778,-3,0
"19","EAST",1,1,1,0
"19","EAST",2,0.5,2,0
"19","EAST",3,0.666666666666667,3,0
"19","NORTH",1,1,0,1
"19","NORTH",2,0.5,0,2
"19","NORTH",3,0.4,0,3
"19","SOUTH",1,1,0,-1
"19","SOUTH",2,0.8,0,-2
"19","SOUTH",3,0.6,0,-3
"19","WEST",1,1,-1,0
"19","WEST",2,0.333333333333333,-2,0
"19","WEST",3,0.2,-3,0
"19","EAST",1,1,1,0
"19","EAST",2,0.666666666666667,2,0
"19","EAST",3,0.4,3,0
"19","NORTH",1,1,0,1
"19","NORTH",2,0,0,2
"19","NORTH",3,0.4,0,3
"19","SOUTH",1,1,0,-1
"19","SOUTH",2,0.25,0,-2
"19","SOUTH",3,0.5,0,-3
"19","WEST",1,1,-1,0
"19","WEST",2,0.25,-2,0
"19","WEST",3,0.25,-3,0
"20","EAST",1,0.5,1,0
"20","EAST",2,0.888888888888889,2,0
"20","EAST",3,0.857142857142857,3,0
"20","NORTH",1,0.8,0,1
"20","NORTH",2,0.5,0,2
"20","NORTH",3,0.5,0,3
"20","SOUTH",1,0.833333333333333,0,-1
"20","SOUTH",2,0.666666666666667,0,-2
"20","SOUTH",3,0.428571428571429,0,-3
"20","WEST",1,0.875,-1,0
"20","WEST",2,0.666666666666667,-2,0
"20","WEST",3,0.875,-3,0
"20","EAST",1,1,1,0
"20","EAST",2,0.4,2,0
"20","EAST",3,0.833333333333333,3,0
"20","NORTH",1,0.833333333333333,0,1
"20","NORTH",2,0.75,0,2
"20","NORTH",3,0.5,0,3
"20","SOUTH",1,1,0,-1
"20","SOUTH",2,1,0,-2
"20","SOUTH",3,0.8,0,-3
"20","WEST",1,0.75,-1,0
"20","WEST",2,0.6,-2,0
"20","WEST",3,0.5,-3,0
"37","EAST",1,1,1,0
"37","EAST",2,0.8,2,0
"37","EAST",3,0.8,3,0
"37","NORTH",1,1,0,1
"37","NORTH",2,0.75,0,2
"37","NORTH",3,0.666666666666667,0,3
"37","SOUTH",1,0.666666666666667,0,-1
"37","SOUTH",2,0.666666666666667,0,-2
"37","SOUTH",3,0.8,0,-3
"37","WEST",1,0.666666666666667,-1,0
"37","WEST",2,0.5,-2,0
"37","WEST",3,0.4,-3,0
"37","EAST",1,0.833333333333333,1,0
"37","EAST",2,0,2,0
"37","EAST",3,0.8,3,0
"37","NORTH",1,0.833333333333333,0,1
"37","NORTH",2,1,0,2
"37","NORTH",3,0.4,0,3
"37","SOUTH",1,0.571428571428571,0,-1
"37","SOUTH",2,0.571428571428571,0,-2
"37","SOUTH",3,0.4,0,-3
"37","WEST",1,0.4,-1,0
"37","WEST",2,0.857142857142857,-2,0
"37","WEST",3,0.6,-3,0
"38","EAST",1,0.333333333333333,1,0
"38","EAST",2,0.5,2,0
"38","EAST",3,0.5,3,0
"38","NORTH",1,0,0,1
"38","NORTH",2,0.333333333333333,0,2
"38","NORTH",3,0.5,0,3
"38","SOUTH",1,0,0,-1
"38","SOUTH",2,0.5,0,-2
"38","SOUTH",3,0.4,0,-3
"38","WEST",1,0,-1,0
"38","WEST",2,0.75,-2,0
"38","WEST",3,0.8,-3,0
"38","EAST",1,0.25,1,0
"38","EAST",2,0.6,2,0
"38","EAST",3,0.6,3,0
"38","NORTH",1,0.25,0,1
"38","NORTH",2,0,0,2
"38","NORTH",3,0.333333333333333,0,3
"38","SOUTH",1,0.4,0,-1
"38","SOUTH",2,0.25,0,-2
"38","SOUTH",3,0.333333333333333,0,-3
"38","WEST",1,0.4,-1,0
"38","WEST",2,0.25,-2,0
"38","WEST",3,0.5,-3,0
"4","EAST",1,1,1,0
"4","EAST",2,0.833333333333333,2,0
"4","EAST",3,0.666666666666667,3,0
"4","NORTH",1,1,0,1
"4","NORTH",2,0.875,0,2
"4","NORTH",3,0.727272727272727,0,3
"4","SOUTH",1,0.857142857142857,0,-1
"4","SOUTH",2,0.909090909090909,0,-2
"4","SOUTH",3,0.923076923076923,0,-3
"4","WEST",1,0.833333333333333,-1,0
"4","WEST",2,0.714285714285714,-2,0
"4","WEST",3,0.75,-3,0
"4","EAST",1,0.833333333333333,1,0
"4","EAST",2,0.571428571428571,2,0
"4","EAST",3,0.888888888888889,3,0
"4","NORTH",1,0.666666666666667,0,1
"4","NORTH",2,0.75,0,2
"4","NORTH",3,0.75,0,3
"4","SOUTH",1,0.833333333333333,0,-1
"4","SOUTH",2,0.571428571428571,0,-2
"4","SOUTH",3,0.75,0,-3
"4","WEST",1,0.75,-1,0
"4","WEST",2,0.857142857142857,-2,0
"4","WEST",3,0.875,-3,0
"5","EAST",1,0.5,1,0
"5","EAST",2,0.5,2,0
"5","EAST",3,0.625,3,0
"5","NORTH",1,0.4,0,1
"5","NORTH",2,0.571428571428571,0,2
"5","NORTH",3,0.375,0,3
"5","SOUTH",1,0.5,0,-1
"5","SOUTH",2,0.4,0,-2
"5","SOUTH",3,0.4,0,-3
"5","WEST",1,0.2,-1,0
"5","WEST",2,0.4,-2,0
"5","WEST",3,0.6,-3,0
"5","EAST",1,1,1,0
"5","EAST",2,0.833333333333333,2,0
"5","EAST",3,0.75,3,0
"5","NORTH",1,0.888888888888889,0,1
"5","NORTH",2,0.5,0,2
"5","NORTH",3,0,0,3
"5","SOUTH",1,0.875,0,-1
"5","SOUTH",2,0.714285714285714,0,-2
"5","SOUTH",3,0.571428571428571,0,-3
"5","WEST",1,0.714285714285714,-1,0
"5","WEST",2,0.75,-2,0
"5","WEST",3,0.857142857142857,-3,0
