"BLOCK","TRANSECT","METER","BC","x","y"
11,"CENTER",0,0.74,0,0
11,"NORTH",1,0.65,0,1
11,"NORTH",2,0.77,0,2
11,"NORTH",3,0.83,0,3
11,"EAST",1,0.43,1,0
11,"EAST",2,0.85,2,0
11,"EAST",3,1,3,0
11,"SOUTH",1,0.37,0,-1
11,"SOUTH",2,0.58,0,-2
11,"SOUTH",3,0.9,0,-3
11,"WEST",1,0.71,-1,0
11,"WEST",2,1,-2,0
11,"WEST",3,1,-3,0
18,"CENTER",0,0.73,0,0
18,"NORTH",1,0.95,0,1
18,"NORTH",2,1,0,2
18,"NORTH",3,0.79,0,3
18,"EAST",1,0.76,1,0
18,"EAST",2,0.8,2,0
18,"EAST",3,0.69,3,0
18,"SOUTH",1,0.69,0,-1
18,"SOUTH",2,0.91,0,-2
18,"SOUTH",3,0.81,0,-3
18,"WEST",1,0.83,-1,0
18,"WEST",2,0.57,-2,0
18,"WEST",3,0.59,-3,0
19,"CENTER",0,1,0,0
19,"NORTH",1,0.71,0,1
19,"NORTH",2,0.67,0,2
19,"NORTH",3,0.66,0,3
19,"EAST",1,0.64,1,0
19,"EAST",2,0.43,2,0
19,"EAST",3,0.89,3,0
19,"SOUTH",1,0.29,0,-1
19,"SOUTH",2,0.33,0,-2
19,"SOUTH",3,0.76,0,-3
19,"WEST",1,0.45,-1,0
19,"WEST",2,0.18,-2,0
19,"WEST",3,0.31,-3,0
20,"CENTER",0,1,0,0
20,"NORTH",1,0.87,0,1
20,"NORTH",2,0.71,0,2
20,"NORTH",3,0.53,0,3
20,"EAST",1,0.78,1,0
20,"EAST",2,0.84,2,0
20,"EAST",3,1,3,0
20,"SOUTH",1,1,0,-1
20,"SOUTH",2,0.71,0,-2
20,"SOUTH",3,0.92,0,-3
20,"WEST",1,0.64,-1,0
20,"WEST",2,0.73,-2,0
20,"WEST",3,0.81,-3,0
37,"CENTER",0,1,0,0
37,"NORTH",1,1,0,1
37,"NORTH",2,0.29,0,2
37,"NORTH",3,0.77,0,3
37,"EAST",1,0.83,1,0
37,"EAST",2,0.85,2,0
37,"EAST",3,0.8,3,0
37,"SOUTH",1,0.67,0,-1
37,"SOUTH",2,1,0,-2
37,"SOUTH",3,0.69,0,-3
37,"WEST",1,0.78,-1,0
37,"WEST",2,0.57,-2,0
37,"WEST",3,0.92,-3,0
38,"CENTER",0,0.3,0,0
38,"NORTH",1,0.9,0,1
38,"NORTH",2,0.67,0,2
38,"NORTH",3,0.41,0,3
38,"EAST",1,0.15,1,0
38,"EAST",2,0.45,2,0
38,"EAST",3,0.11,3,0
38,"SOUTH",1,0.62,0,-1
38,"SOUTH",2,0.65,0,-2
38,"SOUTH",3,0.63,0,-3
38,"WEST",1,0.96,-1,0
38,"WEST",2,0.64,-2,0
38,"WEST",3,0.94,-3,0
4,"CENTER",0,1,0,0
4,"NORTH",1,0.89,0,1
4,"NORTH",2,1,0,2
4,"NORTH",3,1,0,3
4,"EAST",1,0.65,1,0
4,"EAST",2,0.95,2,0
4,"EAST",3,0.82,3,0
4,"SOUTH",1,0.76,0,-1
4,"SOUTH",2,0.96,0,-2
4,"SOUTH",3,0.93,0,-3
4,"WEST",1,1,-1,0
4,"WEST",2,0.6,-2,0
4,"WEST",3,0.5,-3,0
5,"CENTER",0,0.58,0,0
5,"NORTH",1,0.38,0,1
5,"NORTH",2,0.68,0,2
5,"NORTH",3,0.66,0,3
5,"EAST",1,0.33,1,0
5,"EAST",2,0.273,2,0
5,"EAST",3,0.84,3,0
5,"SOUTH",1,0.72,0,-1
5,"SOUTH",2,0.74,0,-2
5,"SOUTH",3,0.93,0,-3
5,"WEST",1,0.43,-1,0
5,"WEST",2,0.52,-2,0
5,"WEST",3,0.88,-3,0
4,NA,1.41,0.811601654625026,1,1
4,NA,2.24,0.822526802651342,1,2
4,NA,3.16,0.834636605282922,1,3
4,NA,2.24,0.822526802651342,2,1
4,NA,2.83,0.83029287173029,2,2
4,NA,3.61,0.840559878309238,2,3
4,NA,3.16,0.834636605282922,3,1
4,NA,3.61,0.840559878309238,3,2
4,NA,4.24,0.848852460546081,3,3
4,NA,1.41,0.811601654625026,1,-1
4,NA,2.24,0.822526802651342,1,-2
4,NA,3.16,0.834636605282922,1,-3
4,NA,2.24,0.822526802651342,2,-1
4,NA,2.83,0.83029287173029,2,-2
4,NA,3.61,0.840559878309238,2,-3
4,NA,3.16,0.834636605282922,3,-1
4,NA,3.61,0.840559878309238,3,-2
4,NA,4.24,0.848852460546081,3,-3
4,NA,1.41,0.811601654625026,-1,-1
4,NA,2.24,0.822526802651342,-1,-2
4,NA,3.16,0.834636605282922,-1,-3
4,NA,2.24,0.822526802651342,-2,-1
4,NA,2.83,0.83029287173029,-2,-2
4,NA,3.61,0.840559878309238,-2,-3
4,NA,3.16,0.834636605282922,-3,-1
4,NA,3.61,0.840559878309238,-3,-2
4,NA,4.24,0.848852460546081,-3,-3
4,NA,1.41,0.811601654625026,-1,1
4,NA,2.24,0.822526802651342,-1,2
4,NA,3.16,0.834636605282922,-1,3
4,NA,2.24,0.822526802651342,-2,1
4,NA,2.83,0.83029287173029,-2,2
4,NA,3.61,0.840559878309238,-2,3
4,NA,3.16,0.834636605282922,-3,1
4,NA,3.61,0.840559878309238,-3,2
4,NA,4.24,0.848852460546081,-3,3
5,NA,1.41,0.632328413186309,1,1
5,NA,2.24,0.643253561212626,1,2
5,NA,3.16,0.655363363844205,1,3
5,NA,2.24,0.643253561212626,2,1
5,NA,2.83,0.651019630291574,2,2
5,NA,3.61,0.661286636870522,2,3
5,NA,3.16,0.655363363844205,3,1
5,NA,3.61,0.661286636870522,3,2
5,NA,4.24,0.669579219107364,3,3
5,NA,1.41,0.632328413186309,1,-1
5,NA,2.24,0.643253561212626,1,-2
5,NA,3.16,0.655363363844205,1,-3
5,NA,2.24,0.643253561212626,2,-1
5,NA,2.83,0.651019630291574,2,-2
5,NA,3.61,0.661286636870522,2,-3
5,NA,3.16,0.655363363844205,3,-1
5,NA,3.61,0.661286636870522,3,-2
5,NA,4.24,0.669579219107364,3,-3
5,NA,1.41,0.632328413186309,-1,-1
5,NA,2.24,0.643253561212626,-1,-2
5,NA,3.16,0.655363363844205,-1,-3
5,NA,2.24,0.643253561212626,-2,-1
5,NA,2.83,0.651019630291574,-2,-2
5,NA,3.61,0.661286636870522,-2,-3
5,NA,3.16,0.655363363844205,-3,-1
5,NA,3.61,0.661286636870522,-3,-2
5,NA,4.24,0.669579219107364,-3,-3
5,NA,1.41,0.632328413186309,-1,1
5,NA,2.24,0.643253561212626,-1,2
5,NA,3.16,0.655363363844205,-1,3
5,NA,2.24,0.643253561212626,-2,1
5,NA,2.83,0.651019630291574,-2,2
5,NA,3.61,0.661286636870522,-2,3
5,NA,3.16,0.655363363844205,-3,1
5,NA,3.61,0.661286636870522,-3,2
5,NA,4.24,0.669579219107364,-3,3
11,NA,1.41,0.740401755700382,1,1
11,NA,2.24,0.751326903726699,1,2
11,NA,3.16,0.763436706358278,1,3
11,NA,2.24,0.751326903726699,2,1
11,NA,2.83,0.759092972805647,2,2
11,NA,3.61,0.769359979384595,2,3
11,NA,3.16,0.763436706358278,3,1
11,NA,3.61,0.769359979384595,3,2
11,NA,4.24,0.777652561621437,3,3
11,NA,1.41,0.740401755700382,1,-1
11,NA,2.24,0.751326903726699,1,-2
11,NA,3.16,0.763436706358278,1,-3
11,NA,2.24,0.751326903726699,2,-1
11,NA,2.83,0.759092972805647,2,-2
11,NA,3.61,0.769359979384595,2,-3
11,NA,3.16,0.763436706358278,3,-1
11,NA,3.61,0.769359979384595,3,-2
11,NA,4.24,0.777652561621437,3,-3
11,NA,1.41,0.740401755700382,-1,-1
11,NA,2.24,0.751326903726699,-1,-2
11,NA,3.16,0.763436706358278,-1,-3
11,NA,2.24,0.751326903726699,-2,-1
11,NA,2.83,0.759092972805647,-2,-2
11,NA,3.61,0.769359979384595,-2,-3
11,NA,3.16,0.763436706358278,-3,-1
