YEAR,MONTH,DAY,DATE,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,TRANSECT,METER,SPECIES,STEMS,STEMS (HIGH),COVER,NOTES
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,CENTER,0,GRASS,8,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,1,FUZZY,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,1,DICO,12,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,2,HAIRY OPP,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,2,DICO,10,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,2,GRASS,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,RUBUS,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,HAIRY OPP,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,PARON,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,ASTER1,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,GRASS,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,BROME,2,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,AXIL,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,FUZZY,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,1,SMBO,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,1,DICO,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,1,ANDRO,3,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,1,MINT,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,2,RUSH,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,2,DICO,5,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,2,NUCA,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,2,GRASS,2,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,3,TORA,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,3,DICO,3,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,3,RUMEX,1,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,1,CUD,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,1,DICO,4,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,1,PASP,7,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,2,PASP,7,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,3,DICO,3,,,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,3,CUD,5,,,
