YEAR,MONTH,DAY,DATE,LINE,BLOCK,PLOT,TREATMENT,EXCLUSION,ADDITION,TRANSECT,DISTANCE,CELLS,DISTURBANCE,NOTES
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,CENTER,0,5,0.3125,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,1,0,0.0000,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,2,3,0.1875,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,NORTH,3,2,0.1250,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,1,0,0.0000,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,2,3,0.1875,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,EAST,3,16,1.0000,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,WEST,1,2,0.1250,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,WEST,2,1,0.0625,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,WEST,3,1,0.0625,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,1,0,0.0000,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,2,6,0.3750,
2022,4,18,4/18/21,1,37,1,CC,CAGED,CARRION,SOUTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,CENTER,0,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,NORTH,1,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,NORTH,2,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,NORTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,EAST,1,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,EAST,2,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,EAST,3,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,SOUTH,1,4,0.2500,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,SOUTH,2,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,SOUTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,WEST,1,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,WEST,2,0,0.0000,
2022,4,18,4/18/21,1,37,2,OP,OPEN,SCAT,WEST,3,0,0.0000,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,CENTER,0,2,0.1250,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,NORTH,1,0,0.0000,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,NORTH,2,0,0.0000,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,NORTH,3,0,0.0000,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,EAST,1,0,0.0000,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,EAST,2,13,0.8125,
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,EAST,3,6,0.3750,Not carrion disturbance
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,SOUTH,1,15,0.9375,Not carrion disturbance
2022,4,18,4/18/21,1,37,3,OS,OPEN,SCAT,SOUTH,2,5,0.3125,
